[2023-06-28 08:31:03,926 root.clean_queue(): 47]: The RQ queue "default" has been successfully flushed
[2023-06-28 08:34:34,479 rq.worker.unsubscribe(): 621]: Unsubscribing from channel rq:pubsub:d26f14c9d1fd4de9b49e5cae77b55efe
[2023-06-28 08:34:34,479 rq.worker.unsubscribe(): 621]: Unsubscribing from channel rq:pubsub:59ceb3e1a1d94d25bb94262f33f17a1b
[2023-06-28 08:34:54,848 root.clean_queue(): 47]: The RQ queue "default" has been successfully flushed
[2023-06-28 08:34:55,269 root.clean_queue(): 47]: The RQ queue "low" has been successfully flushed
[2023-06-28 08:34:55,735 rq.worker.register_birth(): 791]: Registering birth of worker d4773de765434339b9a092c25649f4ab
[2023-06-28 08:34:55,735 rq.worker.register_birth(): 791]: Registering birth of worker 2126bf3cf2d041cdac55a0eb313e0c86
[2023-06-28 08:34:55,736 rq.worker.bootstrap(): 569]: Worker rq:worker:d4773de765434339b9a092c25649f4ab started with PID 59804, version 1.15.1
[2023-06-28 08:34:55,736 rq.worker.subscribe(): 613]: Subscribing to channel rq:pubsub:d4773de765434339b9a092c25649f4ab
[2023-06-28 08:34:55,736 rq.worker.bootstrap(): 569]: Worker rq:worker:2126bf3cf2d041cdac55a0eb313e0c86 started with PID 59803, version 1.15.1
[2023-06-28 08:34:55,736 rq.worker.subscribe(): 613]: Subscribing to channel rq:pubsub:2126bf3cf2d041cdac55a0eb313e0c86
[2023-06-28 08:34:55,738 rq.worker.bootstrap(): 573]: *** Listening on [32mdefault[39;49;00m...
[2023-06-28 08:34:55,738 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 08:34:55,738 rq.worker.bootstrap(): 573]: *** Listening on [32mlow[39;49;00m...
[2023-06-28 08:34:55,738 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 08:34:55,738 rq.worker.dequeue_job_and_maintain_ttl(): 640]: *** Listening on [32mdefault[39;49;00m...
[2023-06-28 08:34:55,738 rq.worker.dequeue_job_and_maintain_ttl(): 640]: *** Listening on [32mlow[39;49;00m...
[2023-06-28 08:34:55,738 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 08:34:55,738 rq.worker.dequeue_job_and_maintain_ttl(): 654]: Dequeueing jobs on queues [32mdefault[39;49;00m and timeout 405
[2023-06-28 08:34:55,738 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 08:34:55,738 rq.worker.dequeue_job_and_maintain_ttl(): 654]: Dequeueing jobs on queues [32mlow[39;49;00m and timeout 405
[2023-06-28 08:34:55,930 django.utils.autoreload.run_with_reloader(): 668]: Watching for file changes with StatReloader
[2023-06-28 09:33:12,465 django.utils.autoreload.run_with_reloader(): 668]: Watching for file changes with StatReloader
[2023-06-28 09:33:42,844 django.utils.autoreload.run_with_reloader(): 668]: Watching for file changes with StatReloader
[2023-06-28 09:34:07,105 django.utils.autoreload.run_with_reloader(): 668]: Watching for file changes with StatReloader
[2023-06-28 09:43:21,349 django.utils.autoreload.run_with_reloader(): 668]: Watching for file changes with StatReloader
[2023-06-28 10:16:49,867 django.utils.autoreload.run_with_reloader(): 668]: Watching for file changes with StatReloader
[2023-06-28 10:17:08,211 django.server.log_message(): 212]: "GET /admin/github/aigithubproject/ HTTP/1.1" 200 13779
[2023-06-28 10:17:08,242 django.server.log_message(): 212]: "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[2023-06-28 10:25:23,626 rq.worker.register_birth(): 791]: Registering birth of worker c34d65b69039495ab8b325b206a33940
[2023-06-28 10:25:23,633 rq.worker.bootstrap(): 569]: Worker rq:worker:c34d65b69039495ab8b325b206a33940 started with PID 1, version 1.15.1
[2023-06-28 10:25:23,635 rq.worker.subscribe(): 613]: Subscribing to channel rq:pubsub:c34d65b69039495ab8b325b206a33940
[2023-06-28 10:25:23,638 rq.worker.bootstrap(): 573]: *** Listening on default...
[2023-06-28 10:25:23,640 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 10:25:23,643 rq.worker.clean_registries(): 315]: Cleaning registries for queue: default
[2023-06-28 10:25:23,648 rq.worker.dequeue_job_and_maintain_ttl(): 640]: *** Listening on default...
[2023-06-28 10:25:23,651 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 10:25:23,653 rq.worker.dequeue_job_and_maintain_ttl(): 654]: Dequeueing jobs on queues default and timeout 405
[2023-06-28 10:26:30,018 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:26:30,038 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:26:30,063 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:26:30,078 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:26:30,105 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:26:30,124 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:26:30,144 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:26:30,202 django.request.log_response(): 241]: Not Found: /favicon.ico
[2023-06-28 10:28:18,536 rq.worker.request_stop(): 989]: Got signal SIGTERM
[2023-06-28 10:28:18,543 rq.worker.handle_warm_shutdown_request(): 1015]: Worker c34d65b69039495ab8b325b206a33940 [PID 1]: warm shut down requested
[2023-06-28 10:28:18,549 rq.worker.register_death(): 825]: Registering death
[2023-06-28 10:28:18,556 rq.worker.unsubscribe(): 621]: Unsubscribing from channel rq:pubsub:c34d65b69039495ab8b325b206a33940
[2023-06-28 10:28:23,089 rq.worker.register_birth(): 791]: Registering birth of worker 84c31c698279406dbefef98929f6ded4
[2023-06-28 10:28:23,093 rq.worker.bootstrap(): 569]: Worker rq:worker:84c31c698279406dbefef98929f6ded4 started with PID 1, version 1.15.1
[2023-06-28 10:28:23,094 rq.worker.subscribe(): 613]: Subscribing to channel rq:pubsub:84c31c698279406dbefef98929f6ded4
[2023-06-28 10:28:23,097 rq.worker.bootstrap(): 573]: *** Listening on default...
[2023-06-28 10:28:23,098 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 10:28:23,102 rq.worker.dequeue_job_and_maintain_ttl(): 640]: *** Listening on default...
[2023-06-28 10:28:23,106 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 10:28:23,107 rq.worker.dequeue_job_and_maintain_ttl(): 654]: Dequeueing jobs on queues default and timeout 405
[2023-06-28 10:28:55,458 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:28:55,479 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:28:55,500 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:28:55,515 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:28:55,535 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:28:55,559 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:28:55,601 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:28:55,655 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:28:55,674 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:28:55,690 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:28:55,706 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:28:55,721 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:28:55,739 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:28:55,777 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:28:55,837 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:28:55,852 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:28:55,868 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:28:55,882 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:28:55,900 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:28:55,916 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:28:55,964 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:28:55,980 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:28:55,997 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:28:56,012 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:28:56,029 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:28:56,044 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:28:56,065 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:28:56,078 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:28:56,138 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:28:56,154 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:28:56,169 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:28:56,184 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:28:56,199 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:28:56,215 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:28:56,231 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:28:57,018 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:28:57,034 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:28:57,049 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:28:57,063 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:28:57,083 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:28:57,101 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:28:57,120 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:28:57,176 django.request.log_response(): 241]: Not Found: /favicon.ico
[2023-06-28 10:28:57,191 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:28:57,208 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:28:57,223 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:28:57,239 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:28:57,256 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:28:57,277 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:28:57,296 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:28:57,344 django.request.log_response(): 241]: Not Found: /favicon.ico
[2023-06-28 10:28:57,359 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:28:57,376 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:28:57,391 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:28:57,408 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:28:57,425 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:28:57,440 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:28:57,455 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:28:57,482 django.request.log_response(): 241]: Not Found: /favicon.ico
[2023-06-28 10:28:59,690 rq.worker.request_stop(): 989]: Got signal SIGTERM
[2023-06-28 10:28:59,695 rq.worker.handle_warm_shutdown_request(): 1015]: Worker 84c31c698279406dbefef98929f6ded4 [PID 1]: warm shut down requested
[2023-06-28 10:28:59,704 rq.worker.register_death(): 825]: Registering death
[2023-06-28 10:28:59,715 rq.worker.unsubscribe(): 621]: Unsubscribing from channel rq:pubsub:84c31c698279406dbefef98929f6ded4
[2023-06-28 10:29:36,046 rq.worker.register_birth(): 791]: Registering birth of worker 258d1d5772514fc187376b687db00150
[2023-06-28 10:29:36,050 rq.worker.bootstrap(): 569]: Worker rq:worker:258d1d5772514fc187376b687db00150 started with PID 1, version 1.15.1
[2023-06-28 10:29:36,052 rq.worker.subscribe(): 613]: Subscribing to channel rq:pubsub:258d1d5772514fc187376b687db00150
[2023-06-28 10:29:36,054 rq.worker.bootstrap(): 573]: *** Listening on default...
[2023-06-28 10:29:36,055 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 10:29:36,059 rq.worker.dequeue_job_and_maintain_ttl(): 640]: *** Listening on default...
[2023-06-28 10:29:36,062 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 10:29:36,063 rq.worker.dequeue_job_and_maintain_ttl(): 654]: Dequeueing jobs on queues default and timeout 405
[2023-06-28 10:29:55,677 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:29:55,695 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:29:55,711 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:29:55,734 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:29:55,753 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:29:55,772 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:29:55,788 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:29:56,560 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:29:56,578 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:29:56,594 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:29:56,608 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:29:56,624 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:29:56,642 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:29:56,661 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:29:56,721 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:29:56,741 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:29:56,760 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:29:56,776 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:29:56,792 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:29:56,810 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:29:56,828 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:29:56,886 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:29:56,900 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:29:56,915 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:29:56,931 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:29:56,953 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:29:56,968 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:29:56,994 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:29:57,052 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:29:57,066 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:29:57,082 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:29:57,100 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:29:57,113 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:29:57,128 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:29:57,146 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:29:57,197 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:29:57,217 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:29:57,234 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:29:57,254 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:29:57,275 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:29:57,296 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:29:57,312 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:30:30,868 rq.worker.request_stop(): 989]: Got signal SIGTERM
[2023-06-28 10:30:30,875 rq.worker.handle_warm_shutdown_request(): 1015]: Worker 258d1d5772514fc187376b687db00150 [PID 1]: warm shut down requested
[2023-06-28 10:30:30,880 rq.worker.register_death(): 825]: Registering death
[2023-06-28 10:30:30,888 rq.worker.unsubscribe(): 621]: Unsubscribing from channel rq:pubsub:258d1d5772514fc187376b687db00150
[2023-06-28 10:30:36,269 rq.worker.register_birth(): 791]: Registering birth of worker cebfddce2aaa41ecabdfc7d56bd2465f
[2023-06-28 10:30:36,274 rq.worker.bootstrap(): 569]: Worker rq:worker:cebfddce2aaa41ecabdfc7d56bd2465f started with PID 1, version 1.15.1
[2023-06-28 10:30:36,275 rq.worker.subscribe(): 613]: Subscribing to channel rq:pubsub:cebfddce2aaa41ecabdfc7d56bd2465f
[2023-06-28 10:30:36,280 rq.worker.bootstrap(): 573]: *** Listening on default...
[2023-06-28 10:30:36,282 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 10:30:36,287 rq.worker.dequeue_job_and_maintain_ttl(): 640]: *** Listening on default...
[2023-06-28 10:30:36,292 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 10:30:36,293 rq.worker.dequeue_job_and_maintain_ttl(): 654]: Dequeueing jobs on queues default and timeout 405
[2023-06-28 10:31:04,099 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:31:04,119 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:31:04,142 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:31:04,163 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:31:04,195 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:31:04,215 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:31:04,232 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:31:46,785 rq.worker.request_stop(): 989]: Got signal SIGTERM
[2023-06-28 10:31:46,793 rq.worker.handle_warm_shutdown_request(): 1015]: Worker cebfddce2aaa41ecabdfc7d56bd2465f [PID 1]: warm shut down requested
[2023-06-28 10:31:46,803 rq.worker.register_death(): 825]: Registering death
[2023-06-28 10:31:46,811 rq.worker.unsubscribe(): 621]: Unsubscribing from channel rq:pubsub:cebfddce2aaa41ecabdfc7d56bd2465f
[2023-06-28 10:31:57,230 rq.worker.register_birth(): 791]: Registering birth of worker 116f2645f60a4efb9b2cb50de78bd1cd
[2023-06-28 10:31:57,239 rq.worker.bootstrap(): 569]: Worker rq:worker:116f2645f60a4efb9b2cb50de78bd1cd started with PID 1, version 1.15.1
[2023-06-28 10:31:57,249 rq.worker.subscribe(): 613]: Subscribing to channel rq:pubsub:116f2645f60a4efb9b2cb50de78bd1cd
[2023-06-28 10:31:57,257 rq.worker.bootstrap(): 573]: *** Listening on default...
[2023-06-28 10:31:57,258 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 10:31:57,262 rq.worker.dequeue_job_and_maintain_ttl(): 640]: *** Listening on default...
[2023-06-28 10:31:57,269 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 10:31:57,270 rq.worker.dequeue_job_and_maintain_ttl(): 654]: Dequeueing jobs on queues default and timeout 405
[2023-06-28 10:32:02,454 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:32:02,476 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:32:02,492 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:32:02,510 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:32:02,526 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:32:02,548 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:32:02,598 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:32:02,618 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:32:02,633 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:32:02,650 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:32:02,673 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:32:02,691 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:32:02,709 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:32:02,760 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
[2023-06-28 10:32:02,781 django.request.log_response(): 241]: Not Found: /static/admin/css/dark_mode.css
[2023-06-28 10:32:02,798 django.request.log_response(): 241]: Not Found: /static/admin/css/base.css
[2023-06-28 10:32:02,817 django.request.log_response(): 241]: Not Found: /static/admin/css/nav_sidebar.css
[2023-06-28 10:32:02,833 django.request.log_response(): 241]: Not Found: /static/admin/css/responsive.css
[2023-06-28 10:32:02,853 django.request.log_response(): 241]: Not Found: /static/admin/css/dashboard.css
[2023-06-28 10:32:02,869 django.request.log_response(): 241]: Not Found: /static/admin/js/theme.js
[2023-06-28 10:32:02,912 django.request.log_response(): 241]: Not Found: /static/admin/js/nav_sidebar.js
